Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
"Gica Import Export Italia SRL",,,,RO8375570,,"2023-01-13 13:44:19"
"Hotel Class",,,,RO18556492,,"2023-01-13 13:44:19"
"Liad Impex SRL",,,,RO4470668,,"2023-01-13 13:44:19"
"Lupul Singuratic SRL",,,,RO1681768,,"2023-01-13 13:44:19"
"Mikrobiologie Labor-Technik Distributie SRL",,,,RO35611503,,"2023-01-13 13:44:19"
"Mikrobiologie Labor-Technik SRL",,,,RO27960545,,"2023-01-13 13:44:19"
Motortec,,,,RO18709162,,"2023-01-13 13:44:19"
"Procars 97 SRL",,,,RO20124470,,"2023-01-13 13:44:19"
"Rom-Aqua SRL",,,,RO13819962,,"2023-01-13 13:44:19"
"Supersem prodcom",,,,RO16471454,,"2023-01-13 13:44:19"
"West Meat SRL",,,,RO1573402,,"2023-01-13 13:44:19"
"Xe mar",,,,,,"2023-01-13 13:44:19"
"Zetman Kraft SRL",,,,RO33028695,,"2023-01-13 13:44:19"
"Zoltam Multilevel SRL",,,,29937590,,"2023-01-13 13:44:19"
"SCC Consumcoop Ineu",,,,RO1715941,,"2023-01-13 13:44:19"
"Spital Orasenesc Ineu",,,,3519062,,"2023-01-13 13:44:19"
"Petrolmuntean SRL",,,,RO27184460,,"2023-01-13 13:44:19"
"2S Design SRL",,,,RO3144248,,"2023-01-13 13:44:19"
"3D computer",,,,RO15576169,,"2023-01-13 13:44:19"
"4U Serv Com",,,,RO5539945,,"2023-01-13 13:44:19"
"A.G.Viitorul Com Serv SRL",,,,RO4280760,,"2023-01-13 13:44:19"
"A.K.A Wash",,,,RO7181726,,"2023-01-13 13:44:19"
"A.S.Vida Exim SRL",,,,RO6365774,,"2023-01-13 13:44:19"
"AAA Prestfax",,,,RO3397175,,"2023-01-13 13:44:19"
"ABB Romserv Impex SRL",,,,RO17118168,,"2023-01-13 13:44:19"
"ABC European air&sea",,,,RO134994418,,"2023-01-13 13:44:19"
"ABC Supplies SRL",,,,RO19672541,,"2023-01-13 13:44:19"
"AEG Progresiv",,,,RO14314445,,"2023-01-13 13:44:19"
AFAP,,,,RO14285927,,"2023-01-13 13:44:19"
"AMS 2000 Trading Impex SRL",,,,RO9603757,,"2023-01-13 13:44:19"
"AMS Elan SRL",,,,RO451949,,"2023-01-13 13:44:19"
"ANCIA Training SRL",,,,39516903,,"2023-01-13 13:44:19"
ANMDM,,,,27234950,,"2023-01-13 13:44:19"
"ANPSSPCP Bucuresti-abilitari",,,,RO5019958,,"2023-01-13 13:44:19"
"APC GSMPARTS SRL",,,,34652343,,"2023-01-13 13:44:19"
"ASD Groupe Deco SRL",,,,RO34890990,,"2023-01-13 13:44:19"
"ASG Spedition SRL",,,,RO14024298,,"2023-01-13 13:44:19"
"AT Business Management SRL",,,,RO32589827,,"2023-01-13 13:44:19"
"ATC&IT Solution SRL",,,,RO18150086,,"2023-01-13 13:44:19"
"AUTO Cobalcescu srl",,,,RO590376,,"2023-01-13 13:44:19"
"AVIVA Asigurari",,,,RO2295479,,"2023-01-13 13:44:19"
"Accor Services",,,,RO10696741,,"2023-01-13 13:44:19"
Accura,,,,RO17067234,,"2023-01-13 13:44:19"
"Acme Constructii Montaj SRL",,,,42934957,,"2023-01-13 13:44:19"
"Act system",,,,RO141669850,,"2023-01-13 13:44:19"
"Activ Interexpo srl",,,,RO9122710,,"2023-01-13 13:44:19"
"Activ SRL",,,,RO6915894,,"2023-01-13 13:44:19"
"Activ Translations Network SRL",,,,RO24483859,,"2023-01-13 13:44:19"
"Activ invest international SRL",,,,RO21418430,,"2023-01-13 13:44:19"
"Active Security Systems SRL",,,,RO18793928,,"2023-01-13 13:44:19"
"Ad-Hoc Consultanta & Media SRL",,,,RO17057451,,"2023-01-13 13:44:19"
"Adagio Club Old SRL",,,,RO26403058,,"2023-01-13 13:44:19"
"Adea Plus SRL",,,,RO16442955,,"2023-01-13 13:44:19"
"Adecco Resurse Umane SRL",,,,RO15739037,,"2023-01-13 13:44:19"
Adinex,,,,RO4138864,,"2023-01-13 13:44:19"
"Adion Prodimpextrans SRL",,,,RO5144309,,"2023-01-13 13:44:19"
"Adis International SRL",,,,RO5222032,,"2023-01-13 13:44:19"
"Admedica Invest SRL",,,,RO18107299,,"2023-01-13 13:44:19"
"Adria Farm SRL",,,,RO16417420,,"2023-01-13 13:44:19"
"Adriana Daniela",,,,RO31012752,,"2023-01-13 13:44:19"
"Adserving Iagency Ro SRL",,,,RO24516360,,"2023-01-13 13:44:19"
"Advanced Gentle Dentist SRL",,,,16290490,,"2023-01-13 13:44:19"
"Advisor Corp SRL",,,,RO16330994,,"2023-01-13 13:44:19"
"Ady Star'03 Auto SRL",,,,RO15262522,,"2023-01-13 13:44:19"
"Aeg progresiv",,,,RO14314445,,"2023-01-13 13:44:19"
"Aeroport Henri Coanda",,,,RO6222650,,"2023-01-13 13:44:19"
Aerotravel,,,,RO9919750,,"2023-01-13 13:44:19"
"Afloriceli Glasscom SRL",,,,RO4824811,,"2023-01-13 13:44:19"
"Agapitos Trading SRL",,,,RO16853063,,"2023-01-13 13:44:19"
"Agentia Nat de Cadastru si Publ Imob",,,,9051601,,"2023-01-13 13:44:19"
"Agentia Nat.a Med.si a Disp. Med.din Romania",,,,41433222,,"2023-01-13 13:44:19"
"Agentia pt.Agenda Digitala a Romaniei",,,,RO32722680,,"2023-01-13 13:44:19"
"Agip Romania",,,,RO6811583,,"2023-01-13 13:44:19"
Agrement,,,,RO6006711,,"2023-01-13 13:44:19"
"Aimee Consulting&Advertising SRL",,,,RO23469341,,"2023-01-13 13:44:19"
"Air Sol Import Export",,,,RO9471630,,"2023-01-13 13:44:19"
"Airline Management Solutions SRL",,,,RO31525574,,"2023-01-13 13:44:19"
"Akasya Management SRL",,,,RO33574247,,"2023-01-13 13:44:19"
"Ala-Vio-Confet International SRL",,,,RO10687786,,"2023-01-13 13:44:19"
"Albinuta Shop SRL",,,,RO16799614,,"2023-01-13 13:44:19"
"Albu Marius pf Taxi",,,,1.70071E+12,,"2023-01-13 13:44:19"
"Alema Prestserv SRL",,,,RO5283021,,"2023-01-13 13:44:19"
"Alex 91 Impex SRL",,,,RO7606471,,"2023-01-13 13:44:19"
"Alex Autocon SRL",,,,RO17586800,,"2023-01-13 13:44:19"
"Alex Serv Impex SRL",,,,RO3016427,,"2023-01-13 13:44:19"
"Alex's Impex SRL",,,,RO362515,,"2023-01-13 13:44:19"
"Alex-Bianca Auto Style SRL",,,,RO23202521,,"2023-01-13 13:44:19"
"Alexandru Grumaz",,,,1.79121E+12,,"2023-01-13 13:44:19"
"Alfa Cockpit SRL",,,,RO25777615,,"2023-01-13 13:44:19"
"Alfie Global Serv SRL",,,,RO29278170,,"2023-01-13 13:44:19"
"Alhora Oil SRL",,,,RO35142075,,"2023-01-13 13:44:19"
"Aliela Company SRL",,,,RO11871280,,"2023-01-13 13:44:19"
"Alishor Export",,,,RO2353483,,"2023-01-13 13:44:19"
"Allcars Com Service SRL",,,,RO9833322,,"2023-01-13 13:44:19"
"Alliance Computers",,,,RO13241469,,"2023-01-13 13:44:19"
"Allianz Tiriac Asigurari",,,,RO120740,,"2023-01-13 13:44:19"
Allis,,,,RO12007860,,"2023-01-13 13:44:19"
"Alma Green",,,,RO2057361,,"2023-01-13 13:44:19"
"Almarom Limited SRL",,,,RO14930941,,"2023-01-13 13:44:19"
"Alrox Trading SRL",,,,RO16401335,,"2023-01-13 13:44:19"
"Altex Romania SRL",,,,RO2864518,,"2023-01-13 13:44:19"
"Amatea Unic",,,,RO16621446,,"2023-01-13 13:44:19"
"Ambi Concept SRL",,,,33900718,,"2023-01-13 13:44:19"
"Ambient Plast SRL",,,,RO16173458,,"2023-01-13 13:44:19"
"American Delivery System SRL",,,,RO32968081,,"2023-01-13 13:44:19"
"American Restaurant System SA",,,,RO6331682,,"2023-01-13 13:44:19"
"Amex Import Export SRL",,,,RO5394950,,"2023-01-13 13:44:19"
"Ami Intercom SRL",,,,RO7039520,,"2023-01-13 13:44:19"
"Amko Trading BC 93 SRL",,,,RO4823204,,"2023-01-13 13:44:19"
"Amper Media SRL",,,,RO28906986,,"2023-01-13 13:44:19"
"Amrest Coffe SRL",,,,RO20119287,,"2023-01-13 13:44:19"
"Ana Co SRL",,,,RO1569137,,"2023-01-13 13:44:19"
"Ana Flor SRL",,,,RO14817692,,"2023-01-13 13:44:19"
"Ana Pan SA",,,,RO6718515,,"2023-01-13 13:44:19"
"Anca Trade 72 SRL",,,,RO6718191,,"2023-01-13 13:44:19"
"Ancia Training SRL",,,,,,"2023-01-13 13:44:19"
"Ancient Pub SRL",,,,RO21117748,,"2023-01-13 13:44:19"
"Andali Concept SRL",,,,RO21592738,,"2023-01-13 13:44:19"
"Andonet Total SRL",,,,RO15771488,,"2023-01-13 13:44:19"
"Andreea ATH Grup SRL",,,,RO15852507,,"2023-01-13 13:44:19"
"Andrei Business",,,,RO3820234,,"2023-01-13 13:44:19"
"Andromede decor SRL",,,,RO15715224,,"2023-01-13 13:44:19"
Androserv,,,,RO5053880,,"2023-01-13 13:44:19"
"Andy's Pizza SRL",,,,RO18873261,,"2023-01-13 13:44:19"
"Angela Com SRL",,,,RO3942975,,"2023-01-13 13:44:19"
"Anghel Hortisem SRL",,,,RO36979326,,"2023-01-13 13:44:19"
"Animal Center SRL",,,,11574734,,"2023-01-13 13:44:19"
"Annesnico Prod SRL",,,,RO28288753,,"2023-01-13 13:44:19"
"Antonio Construct 2004 SRL",,,,RO16482810,,"2023-01-13 13:44:19"
"Antoniu Silvia",,,,,,"2023-01-13 13:44:19"
"Anuntul Telefonic SRL",,,,RO1582225,,"2023-01-13 13:44:19"
"Apa Cargo Services SRL",,,,RO40970384,,"2023-01-13 13:44:19"
"Apa Nova SA",,,,RO12276949,,"2023-01-13 13:44:19"
"Apache Deco SRL",,,,RO15118226,,"2023-01-13 13:44:19"
"Apolo Com Art",,,,RO331071,,"2023-01-13 13:44:19"
"Aqua 2M Ecostyle SRL",,,,RO18592444,,"2023-01-13 13:44:19"
"Ara Grup SRL",,,,RO10916693,,"2023-01-13 13:44:19"
Arca92,,,,RO3013250,,"2023-01-13 13:44:19"
"Arena Communications Advertising SRL",,,,RO15537941,,"2023-01-13 13:44:19"
"Argo-Rom Plastics SA",,,,RO8354631,,"2023-01-13 13:44:19"
"Arimex Comexim 2000 SRL",,,,RO5464370,,"2023-01-13 13:44:19"
"Arli-Co SRL",,,,RO385586,,"2023-01-13 13:44:19"
"Armonia Beach SRL",,,,35572170,,"2023-01-13 13:44:19"
"Arsis Trading SRL",,,,RO436787,,"2023-01-13 13:44:19"
"Art Medica SRL",,,,RO14623335,,"2023-01-13 13:44:19"
"Art&Craft Design SRL",,,,RO18238693,,"2023-01-13 13:44:19"
"Artel Gold ImpexSRL",,,,RO6812643,,"2023-01-13 13:44:19"
"Artizan Cristal Glass SRL",,,,RO15584196,,"2023-01-13 13:44:19"
"As Roviva",,,,RO15366710,,"2023-01-13 13:44:19"
"As World Cargo",,,,RO20899816,,"2023-01-13 13:44:19"
"Asam Entreprises",,,,RO14955024,,"2023-01-13 13:44:19"
"Ascensis grup SRL",,,,RO18335807,,"2023-01-13 13:44:19"
Asclepios,,,,RO1572051,,"2023-01-13 13:44:19"
"Asoc. Inst. Rom. ptr Ed. si Calit. Europeana",,,,RO14945659,,"2023-01-13 13:44:19"
"Asociatia ''Daruieste Viata''",,,,30563375,,"2023-01-13 13:44:19"
"Asociatia Culita Tarata",,,,38408253,,"2023-01-13 13:44:19"
"Asociatia De Standardizare Din Romania ASRO",,,,RO11134288,,"2023-01-13 13:44:19"
"Asociatia Ecotic",,,,RO18870966,,"2023-01-13 13:44:19"
"Asociatia IRECE",,,,,,"2023-01-13 13:44:19"
"Asociatia Rotary Club Atheneum Bucuresti",,,,14407510,,"2023-01-13 13:44:19"
"Asociatia Smiling Faces Romania",,,,28804846,,"2023-01-13 13:44:19"
"Asociatia Societatea de Salvare Bucuresti",,,,26423195,,"2023-01-13 13:44:19"
"Asociatia pt Serv Soc Informationale",,,,RO22686989,,"2023-01-13 13:44:19"
"Astrahanul SRL",,,,RO2601619,,"2023-01-13 13:44:19"
"Atlantic City SRL",,,,RO14144545,,"2023-01-13 13:44:19"
"Atlantic Vip Service SRL",,,,RO14685877,,"2023-01-13 13:44:19"
"Atlas Service SRL",,,,RO12639610,,"2023-01-13 13:44:19"
"Atu IT SRL",,,,RO23794393,,"2023-01-13 13:44:19"
"Audiomonix SRL",,,,RO14886242,,"2023-01-13 13:44:19"
"Aurdeco SRL",,,,RO20629952,,"2023-01-13 13:44:19"
"Aurocon Compec SRL",,,,RO11489566,,"2023-01-13 13:44:19"
"Aurora Luxury Group SRL",,,,RO31451302,,"2023-01-13 13:44:19"
"Auto As",,,,RO4872,,"2023-01-13 13:44:19"
"Auto Bax Services SRL",,,,RO29431818,,"2023-01-13 13:44:19"
"Auto Center",,,,RO347115,,"2023-01-13 13:44:19"
"Auto Clean&Tyres Concept SRL",,,,"RO 36027007",,"2023-01-13 13:44:19"
"Auto Cobalcescu SRL",,,,RO1590376,,"2023-01-13 13:44:19"
"Auto Dany Drive SRL",,,,30702287,,"2023-01-13 13:44:19"
"Auto Difast Group SRL",,,,RO17753909,,"2023-01-13 13:44:19"
"Auto Italia Impex SRL",,,,RO3786213,,"2023-01-13 13:44:19"
"Auto Karma",,,,RO39477,,"2023-01-13 13:44:19"
"Auto Leader Expim SRL",,,,RO14782276,,"2023-01-13 13:44:19"
"Auto Lux",,,,RO9267606,,"2023-01-13 13:44:19"
"Auto Nico-Simo SRL",,,,RO7878638,,"2023-01-13 13:44:19"
"Auto Parts Shop SRL",,,,RO20910361,,"2023-01-13 13:44:19"
"Auto Porand SRL",,,,19307384,,"2023-01-13 13:44:19"
"Auto Vanish SRL",,,,RO24589770,,"2023-01-13 13:44:19"
AutoKlass,,,,RO15134434,,"2023-01-13 13:44:19"
"Autofix Service SRL",,,,RO12983214,,"2023-01-13 13:44:19"
"Autoklass Center SRL",,,,RO15134434,,"2023-01-13 13:44:19"
"Automobile Bavaria",,,,RO5450286,,"2023-01-13 13:44:19"
"Autoritatea pt.digitalizarea Romaniei",,,,RO42283735,,"2023-01-13 13:44:19"
"Autosal Expert SRL",,,,RO25452036,,"2023-01-13 13:44:19"
Autoserv,,,,RO7102552,,"2023-01-13 13:44:19"
"Avante Consulting Team",,,,RO17434780,,"2023-01-13 13:44:19"
"Avanti Union SRL",,,,RO28701573,,"2023-01-13 13:44:19"
"Avenir Telecom SA",,,,RO9452492,,"2023-01-13 13:44:19"
"Aventura Parc",,,,RO17768713,,"2023-01-13 13:44:19"
"Avia Motors SRL",,,,RO5791445,,"2023-01-13 13:44:19"
"Avia Travel & Events",,,,RO25235754,,"2023-01-13 13:44:19"
"Aviatiei Vet SRL",,,,RO16609183,,"2023-01-13 13:44:19"
"Aviroms Rent a Car SRL",,,,RO5771120,,"2023-01-13 13:44:19"
"Axa Assistance SRL",,,,RO27640532,,"2023-01-13 13:44:19"
"Axi Activ Distribution",,,,RO18464895,,"2023-01-13 13:44:19"
"Axiome Auto",,,,RO6385593,,"2023-01-13 13:44:19"
"Azad Enterprises SRL",,,,RO6521504,,"2023-01-13 13:44:19"
B&B,,,,RO1984882,,"2023-01-13 13:44:19"
"B&B Collection SRL",,,,RO11984882,,"2023-01-13 13:44:19"
"B&J Com SRL",,,,RO6285403,,"2023-01-13 13:44:19"
"BATM ARCOM SRL",,,,RO10062035,,"2023-01-13 13:44:19"
"BB Rom Comexim SRL",,,,RO5572496,,"2023-01-13 13:44:19"
"BEYLER DECOR",,,,RO2085191,,"2023-01-13 13:44:19"
"BMK Lact Food SRL",,,,RO32840065,,"2023-01-13 13:44:19"
"BNP Costescu",,,,RO14766688,,"2023-01-13 13:44:19"
"BNP Dobre Florina",,,,RO20860506,,"2023-01-13 13:44:19"
"BNP Manea Violeta Elena",,,,RO31811991,,"2023-01-13 13:44:19"
"BNPA Boroi",,,,RO8373242,,"2023-01-13 13:44:19"
"BNPA L.Georgescu-B.Moldoveanu",,,,RO17071219,,"2023-01-13 13:44:19"
"BNPA Suprema Lex",,,,RO25160139,,"2023-01-13 13:44:19"
"BPC Com International SRL",,,,RO14749539,,"2023-01-13 13:44:19"
"BTD Prod Steel",,,,RO18302532,,"2023-01-13 13:44:19"
"Bacania Companion SRL",,,,RO32367715,,"2023-01-13 13:44:19"
"Bake Street SRL",,,,RO26527455,,"2023-01-13 13:44:19"
"Baloo Construct Serv",,,,Ro23195122,,"2023-01-13 13:44:19"
"Bandy-Com 2002 SRL",,,,RO14690105,,"2023-01-13 13:44:19"
"Banica Daniela",,,,2.62112E+12,,"2023-01-13 13:44:19"
"Baobab Investments Limited SRL",,,,RO26387858,,"2023-01-13 13:44:19"
"Batm-Arcom SA",,,,RO10062035,,"2023-01-13 13:44:19"
"Batrinu Comp SRL",,,,RO13642045,,"2023-01-13 13:44:19"
"Batrinu Comp. SRL",,,,RO13642045,,"2023-01-13 13:44:19"
"Be Proffice",,,,RO6562512,,"2023-01-13 13:44:19"
"Be.Ga.-Mar.Co.Ex.Imp SRL",,,,RO5916395,,"2023-01-13 13:44:19"
"Beauty Shop",,,,RO13434901,,"2023-01-13 13:44:19"
"Bebi Distribution SRL",,,,RO17966150,,"2023-01-13 13:44:19"
"Becker Brau",,,,RO9805373,,"2023-01-13 13:44:19"
"Bel System total",,,,RO22615457,,"2023-01-13 13:44:19"
"Beraria Bragadiru SRL",,,,RO28304476,,"2023-01-13 13:44:19"
Berat-traduceri,,,,RO4793178,,"2023-01-13 13:44:19"
"Bercaru Nicolae",,,,,,"2023-01-13 13:44:19"
"Bernie Exim SRL",,,,RO14501931,,"2023-01-13 13:44:19"
"Best Achizitii SRL",,,,RO32125703,,"2023-01-13 13:44:19"
"Best Computers",,,,RO2506757,,"2023-01-13 13:44:19"
"Best Services",,,,RO7322671,,"2023-01-13 13:44:19"
"Best Stil SRL",,,,RO15671462,,"2023-01-13 13:44:19"
"Best wash",,,,RO16570512,,"2023-01-13 13:44:19"
"Bestmusic Live SRL",,,,RO30097461,,"2023-01-13 13:44:19"
Betaflor,,,,RO4431421,,"2023-01-13 13:44:19"
"Betina M",,,,RO6115352,,"2023-01-13 13:44:19"
"Bicotel Service SRL",,,,RO900269,,"2023-01-13 13:44:19"
"Bier Republic",,,,RO31180041,,"2023-01-13 13:44:19"
"Billa Romania SRL",,,,RO9657315,,"2023-01-13 13:44:19"
"Bio Supply SRL",,,,RO16037073,,"2023-01-13 13:44:19"
"Biosafety SRL",,,,28184450,,"2023-01-13 13:44:19"
"Biosens Medica SRL",,,,RO23110363,,"2023-01-13 13:44:19"
"Biosilmed SRL",,,,34200003,,"2023-01-13 13:44:19"
"Biosintex SRL",,,,RO14779017,,"2023-01-13 13:44:19"
"Bip Telnet Consulting SRL",,,,RO17705596,,"2023-01-13 13:44:19"
"Birou Judecatoresc Culcea Raluca Mariana",,,,RO23729387,,"2023-01-13 13:44:19"
"Birou Notar Public Apostol N.Alina Roxana",,,,RO21312250,,"2023-01-13 13:44:19"
"Birou Notari Publici Dana Dobre",,,,RO17439397,,"2023-01-13 13:44:19"
"Birou Notariale",,,,,,"2023-01-13 13:44:19"
"Birou notar Enache",,,,RO19364630,,"2023-01-13 13:44:19"
"Birou notari Ciurea-Stan",,,,RO23050512,,"2023-01-13 13:44:19"
"Biroul Roman De Metrologie Legala",,,,RO4283376,,"2023-01-13 13:44:19"
"Blor Retail SA",,,,RO15704730,,"2023-01-13 13:44:19"
"Blue Air-Airline Management Solutions SRL",,,,RO31525574,,"2023-01-13 13:44:19"
"Blue Box Imobiliare SRL",,,,RO17547941,,"2023-01-13 13:44:19"
"Blue Flowers Comimpex SRL",,,,RO10448037,,"2023-01-13 13:44:19"
"Blue Lab Forensics SRL",,,,RO31375280,,"2023-01-13 13:44:19"
"Blue Point Serv SRL",,,,RO14508972,,"2023-01-13 13:44:19"
"Blue Restaurant SRL",,,,RO35347380,,"2023-01-13 13:44:19"
"Blue Ridge",,,,RO1554101,,"2023-01-13 13:44:19"
"Blue Star 2004 Com Alim",,,,RO16890487,,"2023-01-13 13:44:19"
"Blue Velvet",,,,RO5217343,,"2023-01-13 13:44:19"
"Body Logic",,,,RO18875416,,"2023-01-13 13:44:19"
"Body Shop",,,,,,"2023-01-13 13:44:19"
"Bogdan Restaurant SRL",,,,RO35299909,,"2023-01-13 13:44:19"
"Bolta Rece",,,,RO1565640,,"2023-01-13 13:44:19"
"Boon Computer SRL",,,,RO26498880,,"2023-01-13 13:44:19"
"Boutique du pain Bucharest SRL",,,,RO25403300,,"2023-01-13 13:44:19"
"Brady Trade SRL",,,,RO3578085,,"2023-01-13 13:44:19"
"Brains M&A Consulting SRL",,,,RO34353490,,"2023-01-13 13:44:19"
"Brand Design Team SRL",,,,RO38170983,,"2023-01-13 13:44:19"
"Branto Productie Industriala SRL",,,,RO3020860,,"2023-01-13 13:44:19"
"Bricostore Romania SA",,,,RO14328360,,"2023-01-13 13:44:19"
"Briliant-Activ SRL",,,,RO22762040,,"2023-01-13 13:44:19"
"Burebista Vanatoresc SRL",,,,RO29372355,,"2023-01-13 13:44:19"
"Bursa Romana de Marfuri",,,,RO1562694,,"2023-01-13 13:44:19"
"Butterfly Cake SRL",,,,RO29704560,,"2023-01-13 13:44:19"
"C&A Moda Retail SRL",,,,RO24335313,,"2023-01-13 13:44:19"
"C&C Catering Aces SRL",,,,28326121,,"2023-01-13 13:44:19"
"C&C Trading",,,,RO9113666,,"2023-01-13 13:44:19"
"C&I Comserv SRL",,,,RO8070826,,"2023-01-13 13:44:19"
"C&I Meridian Service",,,,RO973157,,"2023-01-13 13:44:19"
"C-Jame Active Development SRL",,,,RO19074840,,"2023-01-13 13:44:19"
C.N.M.S.I,,,,RO26335581,,"2023-01-13 13:44:19"
CARGUS,,,,RO541906,,"2023-01-13 13:44:19"
"CASA Nobila SRL",,,,RO395750,,"2023-01-13 13:44:19"
"CBN Prest SRL",,,,RO19011469,,"2023-01-13 13:44:19"
"CC Britanica-Romana srl",,,,13115355,,"2023-01-13 13:44:19"
CCIB,,,,RO2842250,,"2023-01-13 13:44:19"
"CCIR Israel",,,,18389491,,"2023-01-13 13:44:19"
"CDM Prestari Servicii SRL",,,,RO16804079,,"2023-01-13 13:44:19"
"CEC SA",,,,,,"2023-01-13 13:44:19"
"CMI Dr. Licu Gladiola",,,,19782498,,"2023-01-13 13:44:19"
"CMI Dr.Boboc Valentina",,,,19530792,,"2023-01-13 13:44:19"
"CMV Blue Cat SRL",,,,RO15774476,,"2023-01-13 13:44:19"
"CSC Impex SRL",,,,RO483991,,"2023-01-13 13:44:19"
"CT Total Auto Style SRL",,,,RO29093210,,"2023-01-13 13:44:19"
"CTG Auto Parts SRL",,,,RO30712884,,"2023-01-13 13:44:19"
"Cab avocat Alexandra Ioana Cionca",,,,35776749,,"2023-01-13 13:44:19"
"Cab avocat Taralunga Andrei Bogdan",,,,20897890,,"2023-01-13 13:44:19"
"Cab.Med. Vet Blue Cat SRL",,,,Ro15774476,,"2023-01-13 13:44:19"
"Cabaret Concept SRL",,,,33296523,,"2023-01-13 13:44:19"
"Cafea La Pachet SRL",,,,RO37866511,,"2023-01-13 13:44:19"
"Cafy Comserv",,,,RO3474548,,"2023-01-13 13:44:19"
"Calinel Trans SRL",,,,RO17386810,,"2023-01-13 13:44:19"
"Caloris Group srl",,,,RO3657589,,"2023-01-13 13:44:19"
"Camp Medica",,,,RO14796283,,"2023-01-13 13:44:19"
"Can Serv",,,,RO836999,,"2023-01-13 13:44:19"
Canin,,,,RO15226951,,"2023-01-13 13:44:19"
"Canin Azzurro 2000 SRL",,,,RO12372512,,"2023-01-13 13:44:19"
"Canori Imex SRL",,,,RO4628815,,"2023-01-13 13:44:19"
"Capricio Rom",,,,RO14601205,,"2023-01-13 13:44:19"
Caramari,,,,RO3752903,,"2023-01-13 13:44:19"
"Caranda Baterii SRL",,,,RO1560677,,"2023-01-13 13:44:19"
"Cargo Partner",,,,RO13499400,,"2023-01-13 13:44:19"
"Cargo Tarom",,,,RO477647,,"2023-01-13 13:44:19"
"Cargolog Weiss",,,,RO6614115,,"2023-01-13 13:44:19"
"Cargus International SRL",,,,RO3541906,,"2023-01-13 13:44:19"
"Carlsrom Beverage SRL",,,,RO6366621,,"2023-01-13 13:44:19"
"Carmen 79 Prosper SRL",,,,RO15039564,,"2023-01-13 13:44:19"
"Caro International",,,,RO14545466,,"2023-01-13 13:44:19"
"Carrefour SA",,,,RO11588780,,"2023-01-13 13:44:19"
"Casa Alba",,,,RO6635860,,"2023-01-13 13:44:19"
"Casa Capsa SA",,,,RO8528312,,"2023-01-13 13:44:19"
"Casa Orient",,,,RO22672568,,"2023-01-13 13:44:19"
"Casa Prod",,,,,,"2023-01-13 13:44:19"
"Casa Vinului Dr Pusca SRL",,,,RO14704901,,"2023-01-13 13:44:19"
"Casandra Anca Prodex Impex SRL",,,,458998,,"2023-01-13 13:44:19"
"Cela Flowers SRL",,,,24580010,,"2023-01-13 13:44:19"
"Cell Center Group SRL",,,,RO22691640,,"2023-01-13 13:44:19"
"Centr. de Boli Reumato. ""I. Stoia""",,,,RO4265990,,"2023-01-13 13:44:19"
"Central Service Instal SRL",,,,RO19222172,,"2023-01-13 13:44:19"
"Centrele de Excelenta ARES SRL",,,,31541081,,"2023-01-13 13:44:19"
"Centrul Medical Progresul SRL",,,,33656037,,"2023-01-13 13:44:19"
"Centrul de Transfuzie Sanguina Mun.Bucuresti",,,,8539362,,"2023-01-13 13:44:19"
"Centrul formare profesionala FORMATEMP",,,,28441180,,"2023-01-13 13:44:19"
"Cetelec SRL",,,,RO1664071,,"2023-01-13 13:44:19"
"Chami International SRL",,,,RO12818799,,"2023-01-13 13:44:19"
"Champ Grup",,,,RO16975567,,"2023-01-13 13:44:19"
"Charter Trans",,,,,,"2023-01-13 13:44:19"
"Chei Service Generale SRL",,,,RO13503160,,"2023-01-13 13:44:19"
Chemicalcom,,,,RO4998141,,"2023-01-13 13:44:19"
"Chimexim SA",,,,RO23652054,,"2023-01-13 13:44:19"
"Christian Impex SRL",,,,RO3618066,,"2023-01-13 13:44:19"
"Chrome Computer",,,,RO6639497,,"2023-01-13 13:44:19"
Cibicolor,,,,RO6549505,,"2023-01-13 13:44:19"
"Cirma Electronics",,,,RO11664071,,"2023-01-13 13:44:19"
"Citan Marian Taxi",,,,1.68012E+12,,"2023-01-13 13:44:19"
"City Cafetaria SRL",,,,RO22223917,,"2023-01-13 13:44:19"
"City Center SRL II",,,,RO2009682,,"2023-01-13 13:44:19"
"City High SRL",,,,RO26908336,,"2023-01-13 13:44:19"
"Cityline SRL",,,,RO21340188,,"2023-01-13 13:44:19"
"Claro Service",,,,RO11304358,,"2023-01-13 13:44:19"
"Clarux Consult SRL",,,,RO15502900,,"2023-01-13 13:44:19"
Claudino,,,,RO18982064,,"2023-01-13 13:44:19"
"Clemantic SRL",,,,RO17553714,,"2023-01-13 13:44:19"
"Clima Air Sistem SRL",,,,J40/20285/2006,,"2023-01-13 13:44:19"
"Clinica Reabilitare Orala Dr. Barbu",,,,31273353,,"2023-01-13 13:44:19"
"Coasta de est tuning SRL",,,,RO22673539,,"2023-01-13 13:44:19"
Codaco,,,,RO10956906,,"2023-01-13 13:44:19"
"Cofetaria Victoria Prod SRL",,,,RO31025773,,"2023-01-13 13:44:19"
"Coffee Shop Network SRL",,,,RO37113793,,"2023-01-13 13:44:19"
"Cofpat Mara Prod SRL",,,,RO16844529,,"2023-01-13 13:44:19"
"Cojocaru Giorgiana",,,,2.83063E+12,,"2023-01-13 13:44:19"
"Colina Motors SRL",,,,RO13458124,,"2023-01-13 13:44:19"
