Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Predare echipament Hemochron Elite ",,,,,,2017-08-31,,,
"Predare echipament Drug Test 5000",,,,,,2017-08-31,,,
"Verificare echipament Hemochron Elite",,,,,,2017-08-31,,,
"Verificare si depanare Urit 3000 Plus PV.4554",,,,,,2017-08-31,,,
"Mentenanta Pathfast Pv.4752",,,,,,2017-08-31,,,
"Ridicare echipament Gastat 1835 Pv. 5014",,,,,,2017-08-31,,,
"Mentenanta Pathfast Pv.5031",,,,,,2017-08-31,,,
"verificare periodica Valleylab  pv 4901",,,,,,2017-09-04,,,
"verificare periodica Valleylab  pv 4900",,,,,,2017-09-04,,,
"verificare periodica Valleylab  pv 4898",,,,,,2017-09-04,,,
"electrocauter valleylab force fx functioneaza anormal",,,,,,2017-09-04,,,
"verificare periodica Hemochron",,,,,,2017-09-04,,,
"verificare analizor Gastat 603",,,,,,2017-09-06,,,
"service GASTAT 603",,,,,,2017-09-06,,,
"service GASTAT 603",,,,,,2017-09-06,,,
"service GASTAT 1835",,,,,,2017-09-06,,,
"verificare ventilator HT70",,,,,,2017-09-07,,,
"verificare STERINIS",,,,,,2017-09-07,,,
"MENTENANTA PATHFAST",,,,,,2017-09-07,,,
"service Pathfast",,,,,,2017-09-07,,,
"Ridicare ventilator pentru verificare Pv.5222",,,,,,2017-09-14,,,
"Predare Ventilator Monnal T60 Pv.5233",,,,,,2017-09-15,,,
"Verificare si remediere defect sesizat Gastat 1830 Pv.5341",,,,,,2017-09-15,,,
"Verificare Gastat 1835 Pv.5310",,,,,,2017-09-15,,,
"Ridicare echipament Valleylab Force Fx Pv.5395",,,,,,2017-09-15,,,
"verificare periodica Pathfast",,,,,,2017-09-15,,,
"instruire folosire Pathfast",,,,,,2017-09-15,,,
"eroare I0020 Pathfast",,,,,,2017-09-15,,,
"predare electrocauter (schimbat sursa)",,,,,,2017-09-15,,,
"verificare periodica electrocautere",,,,,,2017-09-15,,,
"verificare periodica electrocautere",,,,,,2017-09-15,,,
"instalare si instruire Gastat 1820 (in demo)",,,,,,2017-09-15,,,
"revizie Pathfast UPU",,,,,,2017-09-19,,,
"predare Hemochron Elite UPU",,,,,,2017-09-19,,,
"sesizare imprimanta defecta Pathfast UPU ",,,,,,2017-09-19,,,
"revizie Pathfast UPU Bagdasar",,,,,,2017-09-19,,,
"ecran defect Universitar ATI",,,,,,2017-09-19,,,
"verificare functionare Pathfast ATI Buzau",,,,,,2017-09-19,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2017-09-19,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-09-19,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2017-09-19,,,
"service Urit 3000 UPU Tulcea",,,,,,2017-09-19,,,
"reparatie Urit 8030 UPU Braila ",,,,,,2017-09-19,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-19,,,
"revizie Valleylab BO Pantelimon",,,,,,2017-09-19,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-19,,,
"revizie electrocautere BO Pantelimon",,,,,,2017-09-19,,,
"revizie Pathfast UPU Targoviste ",,,,,,2017-09-19,,,
"revizie Pathfast Cardio Targoviste ",,,,,,2017-09-19,,,
"eroare soft Gastat 1830 ATI Targoviste ",,,,,,2017-09-19,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2017-09-20,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2017-09-20,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-09-20,,,
"revizie Pathfast UPU Sf Ioan",,,,,,2017-09-20,,,
"revizie Pathfast ATI Sf Ioan",,,,,,2017-09-20,,,
"predare Valleylab BO Sf Pantelimon",,,,,,2017-09-20,,,
"predare Ventilator HT 70 UPU Pantelimon",,,,,,2017-09-20,,,
"inlocuire ecran UPU Universitar ",,,,,,2017-09-20,,,
"inlocuire sample port Gastat ATI Targoviste ",,,,,,2017-09-20,,,
"calibrari Pathfast ATI Ploiesti ",,,,,,2017-09-20,,,
"erori calibrare D-Dimer",,,,,,2017-09-20,,,
"probleme tiparire imprimanta Pathfast Cardio Universitar ",,,,,,2017-09-20,,,
"predare Spotchem UPU Tulcea",,,,,,2017-09-20,,,
"probleme Hb Urit 3000 UPU Tulcea ",,,,,,2017-09-20,,,
"probleme citire leucocite NCC 2310 CPU Sulina ",,,,,,2017-09-20,,,
"revizie Pathfast UPU Sf Ioan",,,,,,2017-09-20,,,
"revizie Pathfast ATI Sf Ioan",,,,,,2017-09-20,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-20,,,
"RBC Clog Urit 3000 UPU Balotesti",,,,,,2017-09-20,,,
"electrocautere defecte BO Pantelimon",,,,,,2017-09-20,,,
"predare Pathfast Cardio Galati",,,,,,2017-09-20,,,
"eroare detectie proba Gastat ATI Balotesti",,,,,,2017-09-20,,,
"verificare functionare Gastat UPU Galati",,,,,,2017-09-20,,,
"eroare calibrare P-SEP CPU Militar Galati",,,,,,2017-09-20,,,
"erori calibrare cTni Pathfast ATI Fundeni",,,,,,2017-09-20,,,
"revizie Pathfast ATI Sf Ioan",,,,,,2017-09-20,,,
"revizie Pathfast UPU Sf Ioan",,,,,,2017-09-20,,,
"revizie Pathfast UPU CC Iliescu ",,,,,,2017-09-20,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-09-20,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2017-09-20,,,
"sesizare valori scazute Na Gastat Navi UPU Braila ",,,,,,2017-09-21,,,
"revizie Valleylab BO Euroclinic Floreasca ",,,,,,2017-09-21,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-21,,,
"ecran defect Pathfast Cardio Galati",,,,,,2017-09-21,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-21,,,
"revizie Valleylab BO Pantelimon",,,,,,2017-09-21,,,
"eroare senzor waste Pathfast ATI Polizu",,,,,,2017-09-21,,,
"Pathfast defect Cardio Braila",,,,,,2017-09-21,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2017-09-21,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-09-21,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2017-09-21,,,
"predare aparat UPU Sf Ioan",,,,,,2017-09-21,,,
"revizie Pathfast UPU Sf Ioan",,,,,,2017-09-21,,,
"revizie Pathfast ATI Sf Ioan",,,,,,2017-09-21,,,
"preluare Gastat 603 ATI Agrippa",,,,,,2017-09-21,,,
"predare Gastat 603 ATI Agrippa",,,,,,2017-09-21,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2017-09-21,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2017-09-21,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-09-21,,,
"Hemochron Elite defect BO Universitar ",,,,,,2017-09-21,,,
"buton start blocat Pathfast UPU CC Iliescu",,,,,,2017-09-21,,,
"revizie Urit 3000 UPU Agrippa",,,,,,2017-09-21,,,
"revizie Pathfast UPU Agrippa",,,,,,2017-09-21,,,
"revizie electrocautere ATI Balotesti",,,,,,2017-09-21,,,
"revizie Valleylab BO Agrippa",,,,,,2017-09-21,,,
"inlocuire lampa Urit 8030 UPU Braila",,,,,,2017-09-21,,,
"verificari Gastat+Pathfast UPU Galati ",,,,,,2017-09-21,,,
"eroare PMT ATI Buzau",,,,,,2017-09-21,,,
"verificare electrocauter BO Euroclinic Floreasca ",,,,,,2017-09-21,,,
"mufa rupta Valleylab BO Agrippa",,,,,,2017-09-21,,,
"predare Hemochron Elite BO Universitar",,,,,,2017-09-21,,,
"ecran defect Pathfast UPU Brasov",,,,,,2017-09-21,,,
"preluare Pathfast UPU CC Iliescu",,,,,,2017-09-21,,,
"buton START blocat Pathfast Polizu",,,,,,2017-09-21,,,
"printer PTH functioneaza anormal",,,,,,2017-09-25,,,
"verificare periodica Pathfast",,,,,,2017-09-25,,,
"verificare periodica Poket Chem",,,,,,2017-09-25,,,
"verificare periodica Pathfast",,,,,,2017-09-25,,,
"predare nebulizator ",,,,,,2017-09-25,,,
"verificare analizor Pathfast",,,,,,2017-09-25,,,
"revizie analizor Pathfast - UPU",,,,,,2017-09-25,,,
"revizie analizor Pathfast - cardio",,,,,,2017-09-25,,,
"eroare 16 Valleylab Euroclinic",,,,,,2017-09-26,,,
"sesizare ecran defect Pathfast UPU Braila ",,,,,,2017-09-26,,,
"eroare FS 5 Gastat UPU Braila",,,,,,2017-09-26,,,
"intretinere Gastat 1835",,,,,,2017-09-26,,,
"service GASTAT 1835",,,,,,2017-09-26,,,
"intretinere Gastat  603ie",,,,,,2017-09-26,,,
"service GASTAT 603ie",,,,,,2017-09-26,,,
"intretinere Pathfast",,,,,,2017-09-26,,,
"instalare Pathfast",,,,,,2017-09-26,,,
"revizie Pathfast UPU Targoviste ",,,,,,2017-09-29,,,
"revizie Pathfast Cardio Targoviste ",,,,,,2017-09-29,,,
"erori calibrare Gastat ATI Targoviste",,,,,,2017-09-29,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-09-29,,,
"revizie Valleylab BO Pantelimon",,,,,,2017-09-29,,,
"revizie Pathfast UPU Sf Ioan",,,,,,2017-09-29,,,
"revizie Pathfast ATI Sf Ioan",,,,,,2017-09-29,,,
"calibrare Troponina Pathfast",,,,,,2017-10-09,,,
"service Gastat 1800",,,,,,2017-10-09,,,
"verificare Hemochroin",,,,,,2017-10-09,,,
"resetare mentenanta sterinis SR2",,,,,,2017-10-10,,,
"predare videolaringoscop MAC",,,,,,2017-11-01,,,
"service GASTAT 603ie",,,,,,2017-11-01,,,
"predare Hemochron Response",,,,,,2017-11-01,,,
"service Sterinis SR2V2 - ATI",,,,,,2017-11-01,,,
"intretinere Pathfast",,,,,,2017-11-01,,,
"intretinere Pathfast",,,,,,2017-11-01,,,
"service Pathfast ",,,,,,2017-11-01,,,
"intretinere Pathfast",,,,,,2017-11-01,,,
"service Pathfast ",,,,,,2017-11-01,,,
"reinstruire Pathfast",,,,,,2017-11-10,,,
"mentenanta periodica Pathfast",,,,,,2017-11-10,,,
"GAstat 1830 se restarteaza",,,,,,2017-11-10,,,
"Eroare pathfast M0101(y axis)",,,,,,2017-11-10,,,
"eroare clock failure Hemochron Response ",,,,,,2017-11-10,,,
"verificare periodica Pathfast",,,,,,2017-11-10,,,
"verificare periodica Pathfast",,,,,,2017-11-10,,,
"ridicare Gastat 1830 ",,,,,,2017-11-10,,,
"preluare maner laringoscop UPU Ilfov",,,,,,2017-11-13,,,
"predare maner laringoscop",,,,,,2017-11-13,,,
"preluare pathfast ATI Constanta ",,,,,,2017-11-13,,,
"verificare Pathfast UPU SJU Constanta ",,,,,,2017-11-13,,,
"predare Valleylab Euroclinic",,,,,,2017-11-13,,,
"predare Valleylab Agrippa ",,,,,,2017-11-13,,,
"verificare Gastat 1830 ATI Targoviste ",,,,,,2017-11-13,,,
"verificare Versa Trek Marie Curie",,,,,,2017-11-13,,,
"verificare Pathfast UPU Ploiesti ",,,,,,2017-11-13,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2017-11-13,,,
"revizie Pathfast ATI CC Iliescu ",,,,,,2017-11-13,,,
"revizie Pathfast Cardio CC Iliescu ",,,,,,2017-11-13,,,
"revizie Pathfast UPU Pantelimon",,,,,,2017-11-13,,,
"revizie Pathfast Sf Ioan",,,,,,2017-11-13,,,
"preluare Pathfast ATI Sf Ioan",,,,,,2017-11-13,,,
"predare Pathfast ATI Sf Ioan ",,,,,,2017-11-13,,,
"preluare HT 70 UPU Sf Ioan",,,,,,2017-11-13,,,
"predare T 60 UPU Sf Ioan",,,,,,2017-11-13,,,
"verificat Pathfast UPU Gerota",,,,,,2017-11-13,,,
"revizie Pathfast UPU CC Iliescu ",,,,,,2017-11-13,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2017-11-13,,,
"revizie Pathfast ATI CC Iliescu ",,,,,,2017-11-13,,,
"Urit 3000 Plus Sapunari ",,,,,,2017-11-13,,,
"ecran defect Pathfast UPU Buzau",,,,,,2017-11-13,,,
"inlocuire lampa URIT 8021",,,,,,2017-11-13,,,
"predare Valleylab BO Pantelimon",,,,,,2017-11-13,,,
"predare Valleylab BO Pantelimon",,,,,,2017-11-13,,,
"eroare initializare Hemochron Response",,,,,,2017-11-14,,,
"mentenanta Pathfast",,,,,,2017-11-14,,,
"intretinere Gastat 603",,,,,,2017-11-14,,,
"service Sterinis",,,,,,2017-11-14,,,
"service Pathfast",,,,,,2017-11-14,,,
"service Sterinis",,,,,,2017-11-14,,,
"service Pathfast",,,,,,2017-11-14,,,
"MENTENANTA PATHFAST",,,,,,2017-11-14,,,
"INTRETINERE GASTAT",,,,,,2017-11-14,,,
"PREDARE HEMOCHRON",,,,,,2017-11-14,,,
"MENTENANTA PATHFAST",,,,,,2017-11-14,,,
"SERVICE HEMOCHRON",,,,,,2017-11-14,,,
"Predare electrocauter Valleylab PV.5698",,,,,,2017-11-24,,,
"Preluare ventilator Monnal T60 PV. 6513",,,,,,2017-11-24,,,
"Verificare Urit 3000 plus PV. 6036",,,,,,2017-11-24,,,
"Ridicare ventilator Monnal T60 PV.5151",,,,,,2017-11-24,,,
"Predare ventilator Monnal T60 PV.5166",,,,,,2017-11-24,,,
"Predare echipamet Minibio PV.5991",,,,,,2017-11-24,,,
"Predare pedala monololar PV.5990",,,,,,2017-11-24,,,
"Verificare URIT3000 Plus PV.6008",,,,,,2017-11-24,,,
"Predare electrocauter Valleylab force 300 PV. 5754",,,,,,2017-11-24,,,
"Verificare Pathfast Cardio PV.5773",,,,,,2017-11-24,,,
"Curatare si verificare Pathfast PV.6580",,,,,,2017-11-24,,,
"Verificare echipamente UPU Tulcea PV.6240",,,,,,2017-11-24,,,
"Ridicare echipament URIT 3000 plus Pv.6965",,,,,,2017-11-24,,,
"Curatare si verificare Pathfast Pv.6942",,,,,,2017-11-24,,,
"Predare Pathfast PV.6910",,,,,,2017-11-24,,,
"Ridicare URIT 3000 Plus PV.6219",,,,,,2017-11-24,,,
"mentenanta Pathfast",,,,,,2017-12-06,,,
"verificari Hemochron",,,,,,2017-12-06,,,
"mentenanta Pathfast",,,,,,2017-12-06,,,
"mentenanta Pathfast",,,,,,2017-12-06,,,
"service Sensititre",,,,,,2017-12-06,,,
"Mentenanta Pathfast",,,,,,2017-12-06,,,
"service URIT",,,,,,2017-12-06,,,
"Mentenanta Pathfast",,,,,,2017-12-06,,,
"mentenanta analizor PATHFAST",,,,,,2017-12-06,,,
"Mentenanta Pathfast",,,,,,2017-12-06,,,
"mentenanta Pathfast + Gastat",,,,,,2017-12-06,,,
"mentenanta analizor Pathfast",,,,,,2017-12-06,,,
"Service URIT",,,,,,2017-12-06,,,
"Service GASTAT NAVI",,,,,,2017-12-06,,,
"Revizie conform contract Pathfast PV.7107",,,,,,2017-12-08,,,
"Mentenanta periodica Pathfast PV. 7225",,,,,,2017-12-08,,,
"Verificare periodica Pathfast PV.7226",,,,,,2017-12-08,,,
"Predare ventilator Monnal T60 PV.7119",,,,,,2017-12-08,,,
"Preluare Pathfast pentru verificare si depanare.",,,,,,2017-12-18,,,
"service URIT",,,,,,2017-12-20,,,
"VERIFICARE PATHFAST",,,,,,2017-12-20,,,
"verifcare O-TWO",,,,,,2017-12-20,,,
"verficare Valleylab",,,,,,2017-12-20,,,
"service URIT",,,,,,2017-12-22,,,
"service URIT",,,,,,2017-12-22,,,
"service GASTAT NAVI",,,,,,2017-12-22,,,
"instalare Pathfast",,,,,,2017-12-22,,,
"Predare echipament Pathfast dupa reparatie Pv.7592",,,,,,2018-01-08,,,
"eroare temperatura Pathfast pv 7605",,,,,,2018-01-09,,,
"reinstalare Versatrek pv 66",,,,,,2018-01-09,,,
"revizie electrocauter ForceTriad pv 7563",,,,,,2018-01-09,,,
"ridicat electrocauter pv 7557",,,,,,2018-01-09,,,
"verificare periodica electrocautere PV 7533",,,,,,2018-01-09,,,
"verificare periodica electrocautere PV 7532",,,,,,2018-01-09,,,
"revizie nebulizator Sterinis pv 7562",,,,,,2018-01-09,,,
"Service Pathfast PV.118",,,,,,2018-01-10,,,
"revizie periodica Pathfast pv 284",,,,,,2018-01-17,,,
"verificare periodica Pathfast pv 317",,,,,,2018-01-17,,,
"verificare periodica Pathfast pv 318",,,,,,2018-01-17,,,
"verificare Valleylab",,,,,,2018-01-26,,,
"revizie Sterinis SR42",,,,,,2018-01-26,,,
"consumabile Pathfast",,,,,,2018-01-26,,,
"service Hemochron",,,,,,2018-01-26,,,
"mentenanta Pathfast",,,,,,2018-01-26,,,
"mentenanta Pathfast",,,,,,2018-01-26,,,
"verificare Sterinis",,,,,,2018-01-26,,,
"mentenanta Sterinis",,,,,,2018-01-26,,,
"MENTENANTA PATHFAST",,,,,,2018-01-26,,,
"Remediere defect sesizat Pathfast PV. 367",,,,,,2018-01-29,,,
"Predare echipament Valleylab PV. 513",,,,,,2018-01-29,,,
"Predare echipaent Pathfast PV.514",,,,,,2018-01-29,,,
"Mentenanta periodica Pathfast PV.538",,,,,,2018-01-29,,,
"Predare echipament dupa reparatie PV. 537",,,,,,2018-01-29,,,
"Predare electrocauter Valleylab ForceTriad Pv.579",,,,,,2018-01-30,,,
"service GASTAT NAVI",,,,,,2018-01-31,,,
"service Pathfast ",,,,,,2018-01-31,,,
"mentenanta Gastat 1835",,,,,,2018-01-31,,,
"Mentenanta Pathfast",,,,,,2018-01-31,,,
"service Pathfast ",,,,,,2018-01-31,,,
"Mentenanta Pathfast",,,,,,2018-01-31,,,
"Mentenanta Pathfast",,,,,,2018-01-31,,,
"Mentenanta Pathfast",,,,,,2018-01-31,,,
"revizie Pathfast UPU CC Iliescu ",,,,,,2018-02-01,,,
"revizie Pathfast ATI CC Iliescu ",,,,,,2018-02-01,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2018-02-01,,,
"revizie Pathfast UPU CC Iliescu ",,,,,,2018-02-01,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2018-02-01,,,
"revizie Pathfast ATI CC Iliescu ",,,,,,2018-02-01,,,
"service electrocauter Force FX pv 485",,,,,,2018-02-02,,,
"service electrocauter Force FX pv 386",,,,,,2018-02-02,,,
"eroare baza de date Versatrek",,,,,,2018-02-02,,,
"erori masurare UPU Universitar",,,,,,2018-02-05,,,
"predare Hemocron Elite UPU Buzau",,,,,,2018-02-05,,,
"eroare temperatura Pathfast ",,,,,,2018-02-05,,,
"verificare functionare Pathfast UPU",,,,,,2018-02-05,,,
"mentenanta Gastat ATI",,,,,,2018-02-05,,,
"erori calibrare P-SEP Pathfast ATI ",,,,,,2018-02-05,,,
"ecran nefuctional Pathfast ATI",,,,,,2018-02-05,,,
"eroare barcode Pathfast UPU",,,,,,2018-02-05,,,
"eroare FS3 Gastat Balotesti ",,,,,,2018-02-05,,,
"sursa alimentare defecta Force Triad BO ",,,,,,2018-02-05,,,
"inlocuire power entry module Force 2 BO ",,,,,,2018-02-05,,,
"ecran defect Pathfast ATI",,,,,,2018-02-05,,,
"revizie Pathfast UPU",,,,,,2018-02-06,,,
"revizie Valleylab BO",,,,,,2018-02-06,,,
"Revizie Pathfast Pv.7307",,,,,,2018-02-06,,,
"revizie electrocautere BO Balotesti",,,,,,2018-02-06,,,
"Revizie Pathfast Pv.7306",,,,,,2018-02-06,,,
"preluare Pathfast UPU ",,,,,,2018-02-06,,,
"Revizie Pathfast Pv.6747",,,,,,2018-02-06,,,
"predare Pathfast + revizie Pathfast UPU",,,,,,2018-02-06,,,
"Revizie Pathfast Pv.6747",,,,,,2018-02-06,,,
"Revizie Pathfast 08.12.2017",,,,,,2018-02-06,,,
"revizie Pathfast UPU",,,,,,2018-02-06,,,
"revizie Pathfast Cardio ",,,,,,2018-02-06,,,
"Mentenanta Gastat 1830 + Pahtfast Pv. 7582",,,,,,2018-02-06,,,
"revizie Pathfast ATI ",,,,,,2018-02-06,,,
"erori calibrare P-SEP UPU ",,,,,,2018-02-06,,,
"Mentenanta Pathfast Pv.7168",,,,,,2018-02-06,,,
"Mentenanta Gastat 1830 Pv.7105",,,,,,2018-02-06,,,
"Preluare echipament Valleylab Force FX 21.12.2017",,,,,,2018-02-06,,,
"Verificare URIT 3000 + Pv.7435",,,,,,2018-02-06,,,
"Revizie conform contract Pathfast. PV 7371",,,,,,2018-02-06,,,
"Mentenanta Gastat 1830 Pv. 6824",,,,,,2018-02-06,,,
"Mentenanta URIT 8021 Pv. 6840",,,,,,2018-02-06,,,
"Mentenanta Pathfast Pv.6579",,,,,,2018-02-06,,,
"predare electrocauter BO",,,,,,2018-02-06,,,
"Mentenanta Pathfast + Gastat 1835 ",,,,,,2018-02-06,,,
"Mentenanta periodica Pathfast Pv.6955",,,,,,2018-02-06,,,
"Mentenanta periodica Pathfast Pv.6954",,,,,,2018-02-06,,,
"Mentenanta Gastat 1835 Pv.7034",,,,,,2018-02-06,,,
"Predare electrocauter Valleylab. PV.7056",,,,,,2018-02-06,,,
"Mentenanta Pathfast 21.11.2017",,,,,,2018-02-06,,,
"Mentenanta URIT 3000+ Pv.7114",,,,,,2018-02-06,,,
"inlocuit bloc valve Gastat 1830 ATI",,,,,,2018-02-06,,,
"predare Spotkem EZ",,,,,,2018-02-12,,,
"cititor cod de bare nefunctional pv 753",,,,,,2018-02-12,,,
"verificare periodica Pathfast pv 806",,,,,,2018-02-12,,,
"eroare baza de date Versatrek pv 881",,,,,,2018-02-20,,,
"revizie periodica Pathfast pv 1009",,,,,,2018-02-20,,,
" PMT fitting error Pathfast",,,,,,2018-02-20,,,
"verificare periodica Pathfast pv 1104",,,,,,2018-02-26,,,
"verificare periodica Pathfast pv 1103",,,,,,2018-02-26,,,
" eroare DSP2_SYS_CNTL ForceTriad pv 1154",,,,,,2018-02-26,,,
"Predare Electrocauter Valleylab ForceFX PV.1185",,,,,,2018-02-27,,,
"ridicat analizor Sterinis",,,,,,2018-02-28,,,
"service URIT",,,,,,2018-02-28,,,
"mentenanta Pathfast ATI",,,,,,2018-02-28,,,
"mentenanta Pathfast UPU",,,,,,2018-02-28,,,
"mentenanta Gastat 1835",,,,,,2018-02-28,,,
"mentenanta Pathfast",,,,,,2018-02-28,,,
"mentenanta Pathfast",,,,,,2018-02-28,,,
"mentenanta Pathfast",,,,,,2018-02-28,,,
"service URIT",,,,,,2018-02-28,,,
"service HEMOCHRON ELITE",,,,,,2018-02-28,,,
"intretinere Pathfast",,,,,,2018-02-28,,,
"service Sensititre",,,,,,2018-02-28,,,
"predare Sterinis SR4",,,,,,2018-02-28,,,
"service laringoscop WelchAllyn",,,,,,2018-02-28,,,
"mentenanta Gastat 1835",,,,,,2018-02-28,,,
"Ridicare Ventilator Monnal T60 Pv.1289",,,,,,2018-03-09,,,
"Preluare Pathfast Cardio Braila Pv.7405",,,,,,2018-03-09,,,
"Predare nebulizator SR4 Pv.1002",,,,,,2018-03-09,,,
"Predare ventilator Monnal T60 Pv.1373",,,,,,2018-03-09,,,
"Predare electrocauter Valleylab Pv.1303",,,,,,2018-03-09,,,
"Ridicare echipament Spotchem Ez Pv.1375",,,,,,2018-03-09,,,
"Verificare echipamente Upu Tulcea Pv.837",,,,,,2018-03-12,,,
"Verificare echipamente conform contrat Pv.547",,,,,,2018-03-12,,,
"Verificare echipemente conform contrat Pv.1376",,,,,,2018-03-12,,,
"REVIZIE STERINIS",,,,,,2018-03-16,,,
"mentenanta Pathfast",,,,,,2018-03-16,,,
"mentenanta Pathfast",,,,,,2018-03-16,,,
"service URIT",,,,,,2018-03-16,,,
"Nebulizator Unik - SAJ Galati Pv.1592",,,,,,2018-03-26,,,
"Predare Spotchem EZ PV.1711",,,,,,2018-03-26,,,
"Pathfast Elias- UPU verificare teste Pv.1503",,,,,,2018-03-26,,,
"Mentenanta periodica Pathfast Spitalul Militar PV.1871",,,,,,2018-03-29,,,
"service gastat navi",,,,,,2018-04-04,,,
"intretinere Pathfast",,,,,,2018-04-04,,,
"intretinere Pathfast",,,,,,2018-04-04,,,
"REVIZIE VALLEYLAB",,,,,,2018-04-04,,,
"REVIZIE O-TWO",,,,,,2018-04-04,,,
"mentenanta GASTAT 1835",,,,,,2018-04-04,,,
"intretinere Pathfast",,,,,,2018-04-04,,,
"intretinere Pathfast",,,,,,2018-04-04,,,
"mentenanta Pathfast",,,,,,2018-04-04,,,
"mentenanta Pathfast",,,,,,2018-04-04,,,
"mentenanta Pathfast",,,,,,2018-04-04,,,
"service URIT",,,,,,2018-04-04,,,
"service electrocauter ForceTriad pv 1928",,,,,,2018-04-04,,,
"service electrocauter ForceTriad pv 1929",,,,,,2018-04-04,,,
"revizie periodica Pathfast pv 1688",,,,,,2018-04-04,,,
"revizie periodica Pathfast pv 1773",,,,,,2018-04-04,,,
"verificare periodica Pathfast pv 1849",,,,,,2018-04-04,,,
"revizie periodica Pathfast pv1877",,,,,,2018-04-04,,,
"prezenta scurgeri lichid sterinis sr2 ",,,,,,2018-04-04,,,
"calibrare Pathfast",,,,,,2018-04-10,,,
"Upgrade soft Pathfast Pv.2065",,,,,,2018-04-11,,,
"Revizie nebulizator SR4 Cab Med Bran Pv.2065",,,,,,2018-04-11,,,
"verificare hemochron response pv 2142",,,,,,2018-04-16,,,
"verificare periodica electrocautere pv 2147",,,,,,2018-04-16,,,
"verificare  periodica pathfast 1066",,,,,,2018-04-16,,,
"verificare periodica Sterinis pv 2128",,,,,,2018-04-16,,,
"verificare periodica Hemochron pv 2127",,,,,,2018-04-16,,,
"Mentenanta Pathfast",,,,,,2018-04-18,,,
"Mentenanta URIT 5200",,,,,,2018-04-18,,,
"Mentenanta periodica Pathfast Pv.2228",,,,,,2018-04-18,,,
"Ridicare analizor Pathfast de la beneficiar Pv.2227",,,,,,2018-04-18,,,
"Revizie conform contrat Pv.2204",,,,,,2018-04-18,,,
"Mentenanta periodica Pathfast Cardio Pv.2219",,,,,,2018-04-18,,,
"Mentenanta periodica Pahtfast PV.2282",,,,,,2018-04-19,,,
"Remediere defectiune sesizata Monnal T60 Pv.2282",,,,,,2018-04-19,,,
"Predare Urit3000+ Pv.2226",,,,,,2018-04-19,,,
"Ridicare echipament pentru verificare si depanare PV.1938",,,,,,2018-04-19,,,
"Mentenanta periodica Pathfast Pv.1946",,,,,,2018-04-19,,,
"verificare periodica Pathfast  pv 2271",,,,,,2018-04-20,,,
"verificare periodica Pathfast pv2274",,,,,,2018-04-20,,,
"revizie Pathfast Cardio CC Iliescu",,,,,,2018-04-24,,,
"revizie Pathfast UPU CC Iliescu",,,,,,2018-04-24,,,
"revizie Pathfast ATI CC Iliescu",,,,,,2018-04-24,,,
"revizie Pathfast UPU Sf. ioan",,,,,,2018-04-24,,,
"defectiune Urit 3000 UPU Balotesti ",,,,,,2018-04-24,,,
"defectiune Gastat 1835 UPU Galati ",,,,,,2018-04-24,,,
"predare Pathfast UPU Giurgiu",,,,,,2018-04-24,,,
"motor pompa blocat Gastat 1835 UPU Galati  ",,,,,,2018-04-24,,,
"predare electrocauter Euroclinic ",,,,,,2018-04-24,,,
"inlocuire card memorie Pathfast UPU Bagdasar",,,,,,2018-04-24,,,
"defectiune SR4 Agrippa ",,,,,,2018-04-24,,,
"reparatie ventilator Monnal T 60 Elias Postoperator ",,,,,,2018-04-24,,,
"intretinere Pathfast",,,,,,2018-05-03,,,
"mentenanta GASTAT1835",,,,,,2018-05-03,,,
"service Urit",,,,,,2018-05-03,,,
"Nebulizator defect CM Galati ",,,,,,2018-05-09,,,
"Inlocuire ecran touch-screen Pathfast PV.2625",,,,,,2018-05-10,,,
"Inlocuire ecran touch-screen Pathfast Pv.2658",,,,,,2018-05-10,,,
"eroare citire cod de bare pv 2602",,,,,,2018-05-14,,,
